dateTime,open,high,low,close,volume
2021-02-01 00-00-00,0.03696230,0.04382680,0.03286150,0.03481730,23868437622.00000000
2021-02-02 00-00-00,0.03482330,0.03529400,0.02877000,0.03134890,11550248752.00000000
2021-02-03 00-00-00,0.03134890,0.03978360,0.03079180,0.03725970,12960787222.00000000
2021-02-04 00-00-00,0.03723270,0.05980000,0.03583670,0.05290810,48795642519.00000000
2021-02-05 00-00-00,0.05281490,0.05434000,0.04315160,0.04671930,16560079172.00000000
2021-02-06 00-00-00,0.04675270,0.05886830,0.04441910,0.05765590,17252485844.00000000
2021-02-07 00-00-00,0.05765790,0.08729700,0.05314460,0.07792470,38837846298.00000000
2021-02-08 00-00-00,0.07798510,0.08535550,0.06222140,0.07870000,26387019347.00000000
2021-02-09 00-00-00,0.07873840,0.08380010,0.06300000,0.07001210,14602698981.00000000
2021-02-10 00-00-00,0.07001220,0.08164960,0.06600000,0.07255270,14156312430.00000000
2021-02-11 00-00-00,0.07255230,0.07556220,0.06800000,0.06958300,6327153991.00000000
2021-02-12 00-00-00,0.06958530,0.07298000,0.06080000,0.06976750,7517732599.00000000
2021-02-13 00-00-00,0.06977800,0.07170900,0.06560000,0.06624050,3844449349.00000000
2021-02-14 00-00-00,0.06623720,0.06646630,0.05555800,0.06267830,8229158262.00000000
2021-02-15 00-00-00,0.06268780,0.06420000,0.04749350,0.05650000,11321001492.00000000
2021-02-16 00-00-00,0.05646430,0.05984520,0.05060030,0.05347600,6643077510.00000000
2021-02-17 00-00-00,0.05352310,0.05510900,0.04780000,0.04951870,6168131231.00000000
2021-02-18 00-00-00,0.04949870,0.06456170,0.04890000,0.05879910,13034098004.00000000
2021-02-19 00-00-00,0.05879910,0.05971900,0.05365810,0.05503300,6405564988.00000000
2021-02-20 00-00-00,0.05503300,0.06070000,0.05100000,0.05417080,7359009281.00000000
2021-02-21 00-00-00,0.05415670,0.06000000,0.05325000,0.05601830,5548376495.00000000
2021-02-22 00-00-00,0.05599210,0.06080370,0.04610030,0.05355570,8420498923.00000000
2021-02-23 00-00-00,0.05360930,0.05387760,0.04133320,0.04765620,5958874372.00000000
2021-02-24 00-00-00,0.04769200,0.06058600,0.04590340,0.05679110,11172353520.00000000
2021-02-25 00-00-00,0.05679070,0.05810000,0.04950020,0.04991380,4913047375.00000000
2021-02-26 00-00-00,0.04991570,0.05260320,0.04840000,0.05047680,3147923785.00000000
2021-02-27 00-00-00,0.05047270,0.05210000,0.04910000,0.05007250,2268877377.00000000
2021-02-28 00-00-00,0.05007050,0.05024260,0.04465610,0.04815820,2384823456.00000000
2021-03-01 00-00-00,0.04814470,0.05250500,0.04785890,0.05059330,2752580452.00000000
